Syntax version=4																
Thu Apr 25 23:25:47 2019																
Starting process (3801787 clocks per sec)																
																
LogRawData=false																
VarHeader=1																
D:		Ax	Ay	Az	Gx	Gy	Gz	Mx	My	Mz	TbY	TbP	TbR	ts		
D:	time(ms)	"(0x20000404,6)"	"(0x20000408,6)"	"(0x2000040c,6)"	"(0x20000410,6)"	"(0x20000414,6)"	"(0x20000418,6)"	"(0x2000041c,6)"	"(0x20000420,6)"	"(0x20000424,6)"	"(0x200002f4,6)"	"(0x200002ec,6)"	"(0x200002f0,6)"			
D:	0.13	-0.496323	-8.819279	-6.375843	-0.904348	-16.069565	-11.617392	65	17	-112	14.656753	-2.61128	-54.052971			
D:	7.72	-0.496323	-8.819279	-6.375843	-0.904348	-16.069565	-11.617392	65	17	-112	14.656753	-2.61128	-54.052971	7.59		
D:	15.52	-0.496323	-8.819279	-6.375843	-0.904348	-16.069565	-11.617392	65	17	-112	14.875682	-2.769024	-54.185322	7.8		
D:	23.41	-0.534502	-8.971993	-6.4522	-0.973913	-16.347826	-11.756522	64	17	-113	14.875682	-2.23916	-54.779064	7.89		
D:	31.39	-0.419966	-8.7811	-6.184949	-0.765217	-16	-11.269566	64	17	-113	14.875682	-2.23916	-54.779064	7.98		
D:	40.42	-0.419966	-8.7811	-6.184949	-0.765217	-16	-11.269566	64	17	-113	14.875682	-2.23916	-54.779064	9.03		
D:	48.43	-0.419966	-8.7811	-6.184949	-0.765217	-16	-11.269566	64	17	-113	14.875682	-2.23916	-54.779064	8.01		
D:	56.51	-0.419966	-8.7811	-6.184949	-0.765217	-16	-11.269566	64	17	-113	14.875682	-2.23916	-54.779064	8.08		
D:	64.41	-0.419966	-8.7811	-6.184949	-0.765217	-16	-11.269566	64	17	-113	14.875682	-2.23916	-54.779064	7.9		
D:	72.41	-0.419966	-8.7811	-6.184949	-0.765217	-16	-11.269566	64	17	-113	14.875682	-2.23916	-54.779064	8		
D:	80.38	-0.419966	-8.7811	-6.184949	-0.765217	-16	-11.269566	64	17	-113	14.875682	-2.23916	-54.779064	7.97		
D:	88.41	-0.419966	-8.7811	-6.184949	-0.765217	-16	-11.269566	64	17	-113	14.875682	-2.23916	-54.779064	8.03		
D:	96.46	-0.419966	-8.7811	-6.184949	-0.765217	-16	-11.269566	64	17	-113	14.875682	-2.23916	-54.779064	8.05		
